,home_overall_rating,away_overall_rating,home_team_wins,home_team_draws,home_team_defeats,home_team_goals_diff,away_team_wins,away_team_draws,away_team_defeats,away_team_goals_diff,home_team_wins_against_eachother,home_team_goals_diff_agains_eachother,draws_against_eachother,away_team_wins_against_eachother,away_team_goals_diff_agains_eachother,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,0.0,0.0,0,2,3,-4,2,1,2,-2,0,-1,0,1,1,19.4,29.1,27.029999999999998,0,1,0
0,0.0,0.0,5,0,0,8,1,1,3,-7,1,1,0,0,-1,10.739999999999998,50.0,102.5,1,0,0
0,0.0,0.0,1,2,2,0,2,1,2,0,0,0,1,0,0,21.289999999999996,29.0,23.990000000000002,0,1,0
0,0.0,0.0,2,1,2,0,3,0,2,3,0,-2,0,1,2,24.02,28.75,21.330000000000002,0,1,0
0,0.0,0.0,4,0,1,4,5,0,0,11,0,-1,0,1,1,19.7,28.5,26.88,1,0,0
0,0.0,0.0,1,1,3,-3,0,2,3,-4,0,-2,0,1,2,18.950000000000003,29.049999999999997,27.73,1,0,0
0,0.0,0.0,1,1,3,-9,3,1,1,3,0,-1,0,1,1,25.5,28.849999999999998,20.2,0,0,1
0,0.0,0.0,2,1,2,-2,0,1,4,-7,1,1,0,0,-1,17.97,29.35,29.7,0,1,0
0,0.0,0.0,1,3,1,0,2,0,3,-1,0,0,1,0,0,15.93,29.700000000000003,36.78,0,1,0
0,0.0,0.0,1,0,4,-3,1,3,1,1,0,-3,0,1,3,20.98,28.799999999999997,24.340000000000003,0,0,1
0,0.0,0.0,3,0,2,1,0,3,2,-4,1,1,0,0,-1,12.969999999999997,34.1,61.8,0,1,0
0,0.0,0.0,3,1,1,5,3,2,0,5,0,0,1,0,0,15.310000000000002,29.999999999999996,40.080000000000005,0,0,1
0,378.0,764.0,0,3,2,-4,5,0,0,7,0,-1,0,1,1,47.1,31.900000000000006,14.19,0,1,0
0,657.0,705.0,2,3,0,5,3,1,1,4,0,-1,0,1,1,25.52,29.099999999999998,20.400000000000002,1,0,0
0,515.0,688.0,0,2,3,-6,0,2,3,-4,0,0,1,0,0,14.97,26.3,30.35,1,0,0
0,716.0,724.0,4,0,1,8,0,4,1,-1,0,-3,0,1,3,12.929999999999998,33.55,62.5,1,0,0
0,638.0,673.0,1,1,3,-2,2,1,2,2,0,0,1,0,0,23.76,28.65,21.7,0,0,1
0,754.0,589.0,2,1,2,0,2,1,2,-1,1,1,0,0,-1,11.53,43.08,78.0,1,0,0
0,668.0,613.0,3,2,0,4,1,2,2,-3,0,0,1,0,0,14.780000000000001,31.25,42.51,1,0,0
0,604.0,543.0,1,0,4,-3,1,0,4,-15,0,-1,0,1,1,16.66,29.55,34.3,1,0,0
0,670.0,628.0,4,1,0,10,1,2,2,-1,0,-1,0,1,1,17.799999999999997,29.099999999999998,30.9,0,1,0
0,724.0,754.0,0,4,1,-4,3,1,1,3,0,-2,0,1,2,26.319999999999997,28.549999999999997,20.049999999999997,0,0,1
0,555.0,706.0,0,2,3,-5,4,0,1,11,0,-1,0,1,1,52.7,32.45,13.73,0,0,1
0,775.0,671.0,4,1,0,5,3,2,0,8,0,-4,0,1,4,12.19,37.88,70.0,1,0,0
0,608.0,635.0,0,2,3,-7,1,1,3,-2,0,-2,0,1,2,20.45,28.45,25.849999999999998,0,0,1
0,712.0,611.0,2,1,2,1,2,0,3,2,1,2,0,0,-2,12.23,37.53,70.0,1,0,0
0,625.0,660.0,1,3,1,0,3,2,0,6,1,2,0,0,-2,16.39,29.65,35.1,0,0,1
0,660.0,379.0,1,1,3,-4,0,3,2,-4,0,-2,0,1,2,13.86,23.1,24.2,1,0,0
0,663.0,625.0,2,1,2,0,0,0,5,-20,1,1,0,0,-1,11.48,42.83,82.5,1,0,0
0,576.0,667.0,1,2,2,-1,3,2,0,6,1,1,0,0,-1,21.509999999999998,28.849999999999998,24.100000000000005,0,1,0
0,658.0,776.0,4,1,0,7,4,1,0,6,0,-6,0,1,6,39.53,30.3,15.55,1,0,0
0,707.0,717.0,4,0,1,9,2,1,2,1,0,0,1,0,0,13.92,32.15,49.95,1,0,0
0,665.0,550.0,2,3,0,5,0,1,4,-6,0,0,1,0,0,0.0,0.0,0.0,1,0,0
0,567.0,570.0,2,1,2,0,1,3,1,2,0,0,1,0,0,17.44,29.099999999999998,32.45,0,1,0
0,612.0,724.0,1,0,4,-1,0,3,2,-6,1,1,0,0,-1,23.68,29.2,21.63,1,0,0
0,752.0,667.0,3,1,1,3,2,1,2,0,0,-3,0,1,3,16.27,29.85,35.830000000000005,0,0,1
0,683.0,660.0,3,1,1,6,2,1,2,1,1,3,0,0,-3,14.95,31.0,42.16,0,1,0
0,482.0,541.0,0,3,2,-4,0,2,3,-6,0,0,1,0,0,21.599999999999998,28.6,24.320000000000004,1,0,0
0,611.0,620.0,0,0,5,-20,1,3,1,0,0,-3,0,1,3,31.43,26.749999999999996,14.6,0,0,1
0,611.0,758.0,0,2,3,-5,2,1,2,-2,0,-3,0,1,3,32.45,29.55,17.19,0,0,1
0,576.0,718.0,1,3,1,2,4,0,1,9,1,1,0,0,-1,41.480000000000004,30.799999999999997,14.94,1,0,0
0,733.0,667.0,3,0,2,3,2,2,1,5,1,2,0,0,-2,14.68,31.0,43.55,1,0,0
0,555.0,575.0,0,1,4,-7,2,2,1,1,0,0,1,0,0,21.13,28.8,24.32,0,0,1
0,552.0,612.0,1,3,1,0,2,0,3,2,0,0,1,0,0,14.02,32.25,47.55,1,0,0
0,658.0,658.0,2,1,2,1,4,1,0,4,1,1,0,0,-1,19.85,29.049999999999997,25.95,1,0,0
0,717.0,495.0,0,2,3,-7,1,3,1,-1,1,1,0,0,-1,13.14,27.65,38.2,0,0,1
0,707.0,611.0,2,1,2,0,0,0,5,-17,1,2,0,0,-2,11.01,48.0,88.75,1,0,0
0,780.0,667.0,3,1,1,4,3,2,0,7,1,2,0,0,-2,12.869999999999997,33.85,61.2,1,0,0
0,625.0,777.0,2,2,1,2,3,1,1,5,1,1,0,0,-1,39.28,30.699999999999996,15.35,0,1,0
0,359.0,613.0,2,2,1,0,0,0,5,-9,0,0,1,0,0,14.010000000000002,26.299999999999997,35.2,1,0,0
0,758.0,576.0,3,1,1,1,2,3,0,4,0,0,1,0,0,12.69,36.3,62.0,1,0,0
0,609.0,716.0,1,2,2,3,0,1,4,-8,0,-2,0,1,2,17.33,29.6,31.8,1,0,0
0,600.0,662.0,2,0,3,1,4,0,1,5,0,0,1,0,0,39.050000000000004,30.55,15.55,0,1,0
0,608.0,647.0,0,0,5,-16,3,1,1,3,1,1,0,0,-1,24.439999999999998,29.2,21.029999999999998,0,0,1
0,631.0,551.0,4,0,1,3,0,1,4,-6,0,0,1,0,0,16.41,29.75,35.3,0,1,0
0,703.0,552.0,2,1,2,1,2,2,1,2,0,-1,0,1,1,15.21,30.5,41.03,0,0,1
0,774.0,660.0,3,0,2,4,3,1,1,5,1,2,0,0,-2,12.37,36.63,66.75,1,0,0
