,home_team_api_id,away_team_api_id,date,home_overall_rating,away_overall_rating,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,9874,9847,2008-08-23 00:00:00,704.0,807.0,24.180000000000003,26.209999999999997,23.470000000000002,0,1,0
0,9925,8596,2008-08-23 00:00:00,870.0,684.0,10.689999999999998,51.25,102.5,1,0,0
0,10194,10252,2008-08-23 00:00:00,768.0,855.0,44.25,31.150000000000002,15.52,1,0,0
0,9829,7819,2008-08-23 00:00:00,758.0,761.0,15.66,28.35,43.55,0,1,0
0,10261,8559,2008-08-23 00:00:00,828.0,826.0,16.080000000000002,30.599999999999998,41.2,1,0,0
0,9956,10199,2008-08-23 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8635,9991,2008-08-23 00:00:00,0.0,0.0,14.32,31.449999999999996,45.8,0,1,0
0,9985,10001,2008-08-23 00:00:00,0.0,0.0,12.13,37.08,71.5,1,0,0
0,6403,10264,2008-08-23 00:00:00,0.0,0.0,27.81,27.450000000000003,19.75,0,0,1
0,9768,7992,2008-08-23 00:00:00,0.0,0.0,10.92,46.5,105.0,1,0,0
0,9986,9999,2008-08-23 00:00:00,0.0,0.0,14.29,31.35,46.9,1,0,0
0,9931,7955,2008-08-23 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9746,8592,2008-08-23 00:00:00,729.0,850.0,31.8,27.28,18.599999999999998,0,0,1
0,9996,8203,2008-08-23 00:00:00,0.0,0.0,18.06,29.4,29.4,1,0,0
0,8571,9984,2008-08-23 00:00:00,0.0,0.0,24.47,29.0,20.71,1,0,0
0,8682,9853,2008-08-23 00:00:00,566.0,829.0,21.479999999999997,26.41,26.5,1,0,0
0,9748,9855,2008-08-23 00:00:00,881.0,719.0,11.52,41.78,91.0,1,0,0
0,9993,7947,2008-08-23 00:00:00,0.0,0.0,13.919999999999998,32.3,48.0,0,1,0
0,9994,4049,2008-08-23 00:00:00,0.0,0.0,14.759999999999998,30.95,42.78,1,0,0
0,8456,8654,2008-08-24 00:00:00,751.0,845.0,20.0,29.15,28.75,1,0,0
0,6421,10214,2008-08-24 00:00:00,562.0,720.0,21.459999999999997,26.779999999999998,25.31,0,0,1
0,9998,9987,2008-08-24 00:00:00,0.0,0.0,27.200000000000003,29.2,19.1,1,0,0
0,8528,8455,2008-08-24 00:00:00,796.0,932.0,71.5,38.38,12.649999999999999,0,0,1
0,8673,1957,2008-08-24 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9809,10212,2008-08-24 00:00:00,0.0,0.0,21.93,27.080000000000002,24.599999999999998,1,0,0
0,7841,9772,2008-08-24 00:00:00,527.0,829.0,46.85,31.299999999999997,14.34,0,1,0
0,10213,10215,2008-08-24 00:00:00,502.0,647.0,19.200000000000003,27.3,28.950000000000003,1,0,0
0,8030,2186,2008-08-24 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,10179,10243,2008-08-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,9851,8639,2008-08-24 00:00:00,785.0,800.0,18.7,26.66,32.3,1,0,0
0,9824,6493,2008-08-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,10192,9930,2008-08-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,8583,9831,2008-08-24 00:00:00,771.0,753.0,19.05,26.51,31.25,0,0,1
0,9773,9807,2008-08-24 00:00:00,0.0,0.0,11.63,39.3,89.5,1,0,0
